Date,Cost (USD),Cost (Bitcoin)
2024-05-25 15:38:00,2333.83,0.0338
2024-05-25 15:39:40,2333.83,0.0338
2024-05-25 15:44:40,2333.83,0.0338
2024-05-25 15:49:40,2333.83,0.0338
2024-05-25 15:54:40,2333.83,0.0338
2024-05-25 15:59:40,2333.83,0.0339
2024-05-25 16:04:40,2333.83,0.0339
2024-05-25 16:09:40,2333.83,0.0339
2024-05-25 16:14:40,2333.83,0.0339
2024-05-25 16:19:40,2333.83,0.0338
2024-05-25 16:24:40,2333.83,0.0338
2024-05-25 16:29:40,2333.83,0.0338
2024-05-25 16:34:40,2333.83,0.0338
2024-05-25 16:39:40,2333.83,0.0338
2024-05-25 16:44:40,2333.83,0.0339
2024-05-25 16:49:40,2333.83,0.0339
2024-05-25 16:54:40,2333.83,0.0339
2024-05-25 16:59:40,2333.83,0.0339
2024-05-25 17:04:40,2333.83,0.0338
2024-05-25 17:09:40,2333.83,0.0339
2024-05-25 17:14:40,2333.83,0.0338
2024-05-25 17:19:40,2333.83,0.0338
2024-05-25 17:24:40,2333.83,0.0338
2024-05-25 17:29:40,2333.83,0.0338
2024-05-25 17:34:40,2333.83,0.0338
2024-05-25 17:39:40,2333.83,0.0338
2024-05-25 17:44:40,2333.83,0.0338
2024-05-25 17:49:40,2333.83,0.0338
2024-05-25 17:54:40,2333.83,0.0338
2024-05-25 17:59:40,2333.83,0.0338
2024-05-25 18:04:40,2333.83,0.0338
2024-05-25 18:09:40,2333.83,0.0337
2024-05-25 18:14:40,2333.83,0.0337
2024-05-25 18:19:40,2333.83,0.0337
2024-05-25 18:24:40,2333.83,0.0337
2024-05-25 18:29:40,2333.83,0.0337
2024-05-25 18:34:40,2333.83,0.0337
2024-05-25 18:39:40,2333.83,0.0338
2024-05-25 18:44:40,2333.83,0.0338
2024-05-25 18:49:40,2333.83,0.0337
2024-05-25 18:54:40,2333.83,0.0337
2024-05-25 18:59:40,2333.83,0.0337
2024-05-25 19:04:40,2333.83,0.0337
2024-05-25 19:09:40,2333.83,0.0337
2024-05-25 19:14:40,2333.83,0.0337
2024-05-25 19:19:40,2333.83,0.0337
2024-05-25 19:24:40,2333.83,0.0337
2024-05-25 19:29:40,2333.83,0.0337
2024-05-25 19:34:40,2333.83,0.0338
2024-05-25 19:39:40,2333.83,0.0338
2024-05-25 19:44:40,2333.83,0.0338
2024-05-25 19:49:40,2333.83,0.0338
2024-05-25 19:54:40,2333.83,0.0337
2024-05-25 19:59:40,2333.83,0.0338
2024-05-25 20:04:40,2333.83,0.0337
2024-05-25 20:09:40,2333.83,0.0337
2024-05-25 20:14:40,2333.83,0.0337
2024-05-25 20:19:40,2333.83,0.0337
2024-05-25 20:24:40,2333.83,0.0338
2024-05-25 20:29:40,2333.83,0.0338
2024-05-25 20:34:40,2333.83,0.0338
2024-05-25 20:39:40,2333.83,0.0338
2024-05-25 20:44:40,2333.83,0.0338
2024-05-25 20:49:40,2333.83,0.0338
2024-05-25 20:54:40,2333.83,0.0338
2024-05-25 20:59:40,2333.83,0.0338
2024-05-25 21:04:40,2333.83,0.0338
2024-05-25 21:09:40,2333.83,0.0338
2024-05-25 21:14:40,2333.83,0.0338
2024-05-25 21:19:40,2333.83,0.0338
2024-05-25 21:24:40,2333.83,0.0338
2024-05-25 21:29:40,2333.83,0.0337
2024-05-25 21:34:40,2333.83,0.0338
2024-05-25 21:39:40,2333.83,0.0338
2024-05-25 21:44:40,2333.83,0.0338
2024-05-25 21:49:40,2333.83,0.0338
2024-05-25 21:54:40,2333.83,0.0338
2024-05-25 21:59:40,2333.83,0.0338
2024-05-25 22:04:40,2333.83,0.0338
2024-05-25 22:09:40,2333.83,0.0338
2024-05-25 22:14:40,2333.83,0.0338
2024-05-25 22:19:40,2333.83,0.0338
2024-05-25 22:24:40,2333.83,0.0338
2024-05-25 22:29:40,2333.83,0.0338
2024-05-25 22:34:40,2333.83,0.0338
2024-05-25 22:39:40,2333.83,0.0338
2024-05-25 22:44:40,2333.83,0.0338
2024-05-25 22:49:40,2333.83,0.0338
