Date,Cost (USD),Cost (Bitcoin)
1970-01-01 00:00:00,35.46,
1970-01-05 23:00:00,35.33,
1970-01-12 23:00:00,35.21,
1970-01-19 23:00:00,34.99,
1970-01-26 23:00:00,35.13,
1970-02-02 23:00:00,35.18,
1970-02-09 23:00:00,35.18,
1970-02-16 23:00:00,35.15,
1970-02-23 23:00:00,35.12,
1970-03-02 23:00:00,35.16,
1970-03-09 23:00:00,35.2,
1970-03-16 23:00:00,35.26,
1970-03-23 23:00:00,35.31,
1970-03-30 23:00:00,35.45,
1970-04-06 23:00:00,35.43,
1970-04-13 23:00:00,35.55,
1970-04-20 23:00:00,35.9,
1970-04-27 23:00:00,35.88,
1970-05-04 23:00:00,36.11,
1970-05-11 23:00:00,36.3,
1970-05-18 23:00:00,36.08,
1970-05-25 23:00:00,35.97,
1970-06-01 23:00:00,35.63,
1970-06-08 23:00:00,35.49,
1970-06-15 23:00:00,35.78,
1970-06-22 23:00:00,35.55,
1970-06-29 23:00:00,35.61,
1970-07-06 23:00:00,35.49,
1970-07-13 23:00:00,35.44,
1970-07-20 23:00:00,35.45,
1970-07-27 23:00:00,35.44,
1970-08-03 23:00:00,35.45,
1970-08-10 23:00:00,35.44,
1970-08-17 23:00:00,35.42,
1970-08-24 23:00:00,35.55,
1970-08-31 23:00:00,35.93,
1970-09-07 23:00:00,36.24,
1970-09-14 23:00:00,36.42,
1970-09-21 23:00:00,36.4,
1970-09-28 23:00:00,36.32,
1970-10-05 23:00:00,36.79,
1970-10-12 23:00:00,37.38,
1970-10-19 23:00:00,37.82,
1970-10-26 23:00:00,39.18,
1970-11-02 23:00:00,37.85,
1970-11-09 23:00:00,37.47,
1970-11-16 23:00:00,37.85,
1970-11-23 23:00:00,37.62,
1970-11-30 23:00:00,37.78,
1970-12-07 23:00:00,37.54,
1970-12-14 23:00:00,37.45,
1970-12-21 23:00:00,37.77,
1970-12-28 23:00:00,37.52,
1971-01-04 23:00:00,37.52,
1971-01-11 23:00:00,37.7,
1971-01-18 23:00:00,38.21,
1971-01-25 23:00:00,38.16,
1971-02-01 23:00:00,38.19,
1971-02-08 23:00:00,38.67,
1971-02-15 23:00:00,39.04,
1971-02-22 23:00:00,38.92,
1971-03-01 23:00:00,38.92,
1971-03-08 23:00:00,38.89,
1971-03-15 23:00:00,39.2,
1971-03-22 23:00:00,39.03,
1971-03-29 23:00:00,38.95,
1971-04-05 23:00:00,39.0,
1971-04-12 23:00:00,39.03,
1971-04-19 23:00:00,39.06,
1971-04-26 23:00:00,39.18,
1971-05-03 23:00:00,39.61,
1971-05-10 23:00:00,40.15,
1971-05-17 23:00:00,40.98,
1971-05-24 23:00:00,40.98,
1971-05-31 23:00:00,41.01,
1971-06-07 23:00:00,40.73,
1971-06-14 23:00:00,39.77,
1971-06-21 23:00:00,40.07,
1971-06-28 23:00:00,40.22,
1971-07-05 23:00:00,40.43,
1971-07-12 23:00:00,40.53,
1971-07-19 23:00:00,41.24,
1971-07-26 23:00:00,41.83,
1971-08-02 23:00:00,42.67,
1971-08-09 23:00:00,43.56,
1971-08-16 23:00:00,43.49,
1971-08-23 23:00:00,43.45,
1971-08-30 23:00:00,41.69,
1971-09-06 23:00:00,42.02,
1971-09-13 23:00:00,41.81,
1971-09-20 23:00:00,42.32,
1971-09-27 23:00:00,42.68,
1971-10-04 23:00:00,42.71,
1971-10-11 23:00:00,42.62,
1971-10-18 23:00:00,42.68,
1971-10-25 23:00:00,42.69,
1971-11-01 23:00:00,42.29,
1971-11-08 23:00:00,42.58,
1971-11-15 23:00:00,43.02,
1971-11-22 23:00:00,43.46,
1971-11-29 23:00:00,43.86,
1971-12-06 23:00:00,44.19,
1971-12-13 23:00:00,43.84,
1971-12-20 23:00:00,43.16,
1971-12-27 23:00:00,43.58,
1972-01-03 23:00:00,44.0,
1972-01-10 23:00:00,45.79,
1972-01-17 23:00:00,45.98,
1972-01-24 23:00:00,46.14,
1972-01-31 23:00:00,47.17,
1972-02-07 23:00:00,47.76,
1972-02-14 23:00:00,48.44,
1972-02-21 23:00:00,48.59,
1972-02-28 23:00:00,48.68,
1972-03-06 23:00:00,48.26,
1972-03-13 23:00:00,48.46,
1972-03-20 23:00:00,48.48,
1972-03-27 23:00:00,48.5,
1972-04-03 23:00:00,48.57,
1972-04-10 23:00:00,48.59,
1972-04-17 23:00:00,49.6,
1972-04-24 23:00:00,49.56,
1972-05-01 23:00:00,49.66,
1972-05-08 23:00:00,51.48,
1972-05-15 23:00:00,53.04,
1972-05-22 23:00:00,57.05,
1972-05-29 23:00:00,57.95,
1972-06-05 23:00:00,59.35,
1972-06-12 23:00:00,60.79,
1972-06-19 23:00:00,61.2,
1972-06-26 23:00:00,61.47,
1972-07-03 23:00:00,64.9,
1972-07-10 23:00:00,65.69,
1972-07-17 23:00:00,65.37,
1972-07-24 23:00:00,65.26,
1972-07-31 23:00:00,69.07,
1972-08-07 23:00:00,68.46,
1972-08-14 23:00:00,65.6,
1972-08-21 23:00:00,66.71,
1972-08-28 23:00:00,66.82,
1972-09-04 23:00:00,66.94,
1972-09-11 23:00:00,67.43,
1972-09-18 23:00:00,63.6,
1972-09-25 23:00:00,63.41,
1972-10-02 23:00:00,64.18,
1972-10-09 23:00:00,65.65,
1972-10-16 23:00:00,65.05,
1972-10-23 23:00:00,64.99,
1972-10-30 23:00:00,64.73,
1972-11-06 23:00:00,64.23,
1972-11-13 23:00:00,62.77,
1972-11-20 23:00:00,60.92,
1972-11-27 23:00:00,63.23,
1972-12-04 23:00:00,63.55,
1972-12-11 23:00:00,63.26,
1972-12-18 23:00:00,64.72,
1972-12-25 23:00:00,64.4,
1973-01-01 23:00:00,64.9,
1973-01-08 23:00:00,65.37,
1973-01-15 23:00:00,65.28,
1973-01-22 23:00:00,64.7,
1973-01-29 23:00:00,65.54,
1973-02-05 23:00:00,67.25,
1973-02-12 23:00:00,69.32,
1973-02-19 23:00:00,73.84,
1973-02-26 23:00:00,82.94,
1973-03-05 23:00:00,86.89,
1973-03-12 23:00:00,86.89,
1973-03-19 23:00:00,82.8,
1973-03-26 23:00:00,87.24,
1973-04-02 23:00:00,89.45,
1973-04-09 23:00:00,91.12,
1973-04-16 23:00:00,89.98,
1973-04-23 23:00:00,91.04,
1973-04-30 23:00:00,90.99,
1973-05-07 23:00:00,90.61,
1973-05-14 23:00:00,100.08,
1973-05-21 23:00:00,112.54,
1973-05-28 23:00:00,107.01,
1973-06-04 23:00:00,120.64,
1973-06-11 23:00:00,119.67,
1973-06-18 23:00:00,122.04,
1973-06-25 23:00:00,119.06,
1973-07-02 23:00:00,124.05,
1973-07-09 23:00:00,126.27,
1973-07-16 23:00:00,120.27,
1973-07-23 23:00:00,118.67,
1973-07-30 23:00:00,115.25,
1973-08-06 23:00:00,115.94,
1973-08-13 23:00:00,103.92,
1973-08-20 23:00:00,109.9,
1973-08-27 23:00:00,101.8,
1973-09-03 23:00:00,105.32,
1973-09-10 23:00:00,105.43,
1973-09-17 23:00:00,103.74,
1973-09-24 23:00:00,102.48,
1973-10-01 23:00:00,99.03,
1973-10-08 23:00:00,103.27,
1973-10-15 23:00:00,102.24,
1973-10-22 23:00:00,100.77,
1973-10-29 23:00:00,98.91,
1973-11-05 23:00:00,98.43,
1973-11-12 23:00:00,97.79,
1973-11-19 23:00:00,90.93,
1973-11-26 23:00:00,90.56,
1973-12-03 23:00:00,101.15,
1973-12-10 23:00:00,106.2,
1973-12-17 23:00:00,107.26,
1973-12-24 23:00:00,109.18,
1973-12-31 23:00:00,111.62,
1974-01-07 23:00:00,120.67,
1974-01-14 23:00:00,123.36,
1974-01-21 23:00:00,128.6,
1974-01-28 23:00:00,141.9,
1974-02-04 23:00:00,133.87,
1974-02-11 23:00:00,145.5,
1974-02-18 23:00:00,151.08,
1974-02-25 23:00:00,168.09,
1974-03-04 23:00:00,169.0,
1974-03-11 23:00:00,164.56,
1974-03-18 23:00:00,163.82,
1974-03-25 23:00:00,177.56,
1974-04-01 23:00:00,173.87,
1974-04-08 23:00:00,171.19,
1974-04-15 23:00:00,173.03,
1974-04-22 23:00:00,174.44,
1974-04-29 23:00:00,168.94,
1974-05-06 23:00:00,166.95,
1974-05-13 23:00:00,168.13,
1974-05-20 23:00:00,164.1,
1974-05-27 23:00:00,159.68,
1974-06-03 23:00:00,157.42,
1974-06-10 23:00:00,158.67,
1974-06-17 23:00:00,159.26,
1974-06-24 23:00:00,151.41,
1974-07-01 23:00:00,143.9,
1974-07-08 23:00:00,139.96,
1974-07-15 23:00:00,140.44,
1974-07-22 23:00:00,145.18,
1974-07-29 23:00:00,154.69,
1974-08-05 23:00:00,154.19,
1974-08-12 23:00:00,153.78,
1974-08-19 23:00:00,155.69,
1974-08-26 23:00:00,153.88,
1974-09-02 23:00:00,158.9,
1974-09-09 23:00:00,155.55,
1974-09-16 23:00:00,152.89,
1974-09-23 23:00:00,148.71,
1974-09-30 23:00:00,148.44,
1974-10-07 23:00:00,160.68,
1974-10-14 23:00:00,155.69,
1974-10-21 23:00:00,158.12,
1974-10-28 23:00:00,165.94,
1974-11-04 23:00:00,168.65,
1974-11-11 23:00:00,183.61,
1974-11-18 23:00:00,191.32,
1974-11-25 23:00:00,182.85,
1974-12-02 23:00:00,186.58,
1974-12-09 23:00:00,180.51,
1974-12-16 23:00:00,183.74,
1974-12-23 23:00:00,190.17,
1974-12-30 23:00:00,197.87,
1975-01-06 23:00:00,174.17,
1975-01-13 23:00:00,180.66,
1975-01-20 23:00:00,173.96,
1975-01-27 23:00:00,180.43,
1975-02-03 23:00:00,177.83,
1975-02-10 23:00:00,173.79,
1975-02-17 23:00:00,183.28,
1975-02-24 23:00:00,185.03,
1975-03-03 23:00:00,182.92,
1975-03-10 23:00:00,177.98,
1975-03-17 23:00:00,178.67,
1975-03-24 23:00:00,177.3,
1975-03-31 23:00:00,177.73,
1975-04-07 23:00:00,174.02,
1975-04-14 23:00:00,170.02,
1975-04-21 23:00:00,168.04,
1975-04-28 23:00:00,166.27,
1975-05-05 23:00:00,165.34,
1975-05-12 23:00:00,165.7,
1975-05-19 23:00:00,166.55,
1975-05-26 23:00:00,175.52,
1975-06-02 23:00:00,164.62,
1975-06-09 23:00:00,166.32,
1975-06-16 23:00:00,164.78,
1975-06-23 23:00:00,163.02,
1975-06-30 23:00:00,166.56,
1975-07-07 23:00:00,163.88,
1975-07-14 23:00:00,166.84,
1975-07-21 23:00:00,164.16,
1975-07-28 23:00:00,166.26,
1975-08-04 23:00:00,166.84,
1975-08-11 23:00:00,163.19,
1975-08-18 23:00:00,162.95,
1975-08-25 23:00:00,162.48,
1975-09-01 23:00:00,154.6,
1975-09-08 23:00:00,152.96,
1975-09-15 23:00:00,148.61,
1975-09-22 23:00:00,138.25,
1975-09-29 23:00:00,136.78,
1975-10-06 23:00:00,138.1,
1975-10-13 23:00:00,142.56,
1975-10-20 23:00:00,145.0,
1975-10-27 23:00:00,144.15,
1975-11-03 23:00:00,143.45,
1975-11-10 23:00:00,144.74,
1975-11-17 23:00:00,142.98,
1975-11-24 23:00:00,141.99,
1975-12-01 23:00:00,138.68,
1975-12-08 23:00:00,138.32,
1975-12-15 23:00:00,138.03,
1975-12-22 23:00:00,142.82,
1975-12-29 23:00:00,141.5,
1976-01-05 23:00:00,140.56,
1976-01-12 23:00:00,137.29,
1976-01-19 23:00:00,129.87,
1976-01-26 23:00:00,127.41,
1976-02-02 23:00:00,128.82,
1976-02-09 23:00:00,131.76,
1976-02-16 23:00:00,131.23,
1976-02-23 23:00:00,131.87,
1976-03-01 23:00:00,133.16,
1976-03-08 23:00:00,134.69,
1976-03-15 23:00:00,134.85,
1976-03-22 23:00:00,134.66,
1976-03-29 23:00:00,131.84,
1976-04-05 23:00:00,127.71,
1976-04-12 23:00:00,127.7,
1976-04-19 23:00:00,128.13,
1976-04-26 23:00:00,128.42,
1976-05-03 23:00:00,128.98,
1976-05-10 23:00:00,128.68,
1976-05-17 23:00:00,128.11,
1976-05-24 23:00:00,126.08,
1976-05-31 23:00:00,126.78,
1976-06-07 23:00:00,127.01,
1976-06-14 23:00:00,126.06,
1976-06-21 23:00:00,126.12,
1976-06-28 23:00:00,124.84,
1976-07-05 23:00:00,124.04,
1976-07-12 23:00:00,122.15,
1976-07-19 23:00:00,116.27,
1976-07-26 23:00:00,112.28,
1976-08-02 23:00:00,113.04,
1976-08-09 23:00:00,113.63,
1976-08-16 23:00:00,113.82,
1976-08-23 23:00:00,107.37,
1976-08-30 23:00:00,103.67,
1976-09-06 23:00:00,113.41,
1976-09-13 23:00:00,114.68,
1976-09-20 23:00:00,116.21,
1976-09-27 23:00:00,119.25,
1976-10-04 23:00:00,115.21,
1976-10-11 23:00:00,114.62,
1976-10-18 23:00:00,117.2,
1976-10-25 23:00:00,116.8,
1976-11-01 23:00:00,122.97,
1976-11-08 23:00:00,130.42,
1976-11-15 23:00:00,138.81,
1976-11-22 23:00:00,133.24,
1976-11-29 23:00:00,130.18,
1976-12-06 23:00:00,133.73,
1976-12-13 23:00:00,136.63,
1976-12-20 23:00:00,131.98,
1976-12-27 23:00:00,133.67,
1977-01-03 23:00:00,135.31,
1977-01-10 23:00:00,132.1,
1977-01-17 23:00:00,131.61,
1977-01-24 23:00:00,132.82,
1977-01-31 23:00:00,132.63,
1977-02-07 23:00:00,134.09,
1977-02-14 23:00:00,136.78,
1977-02-21 23:00:00,137.82,
1977-02-28 23:00:00,142.87,
1977-03-07 23:00:00,148.74,
1977-03-14 23:00:00,146.25,
1977-03-21 23:00:00,151.78,
1977-03-28 23:00:00,152.28,
1977-04-04 23:00:00,150.89,
1977-04-11 23:00:00,149.83,
1977-04-18 23:00:00,151.73,
1977-04-25 23:00:00,149.79,
1977-05-02 23:00:00,148.21,
1977-05-09 23:00:00,148.26,
1977-05-16 23:00:00,148.19,
1977-05-23 23:00:00,147.32,
1977-05-30 23:00:00,144.26,
1977-06-06 23:00:00,143.61,
1977-06-13 23:00:00,140.01,
1977-06-20 23:00:00,140.23,
1977-06-27 23:00:00,142.22,
1977-07-04 23:00:00,142.21,
1977-07-11 23:00:00,142.04,
1977-07-18 23:00:00,144.58,
1977-07-25 23:00:00,146.5,
1977-08-01 23:00:00,145.74,
1977-08-08 23:00:00,146.8,
1977-08-15 23:00:00,145.06,
1977-08-22 23:00:00,144.82,
1977-08-29 23:00:00,145.45,
1977-09-05 23:00:00,148.34,
1977-09-12 23:00:00,148.62,
1977-09-19 23:00:00,150.58,
1977-09-26 23:00:00,153.08,
1977-10-03 23:00:00,155.84,
1977-10-10 23:00:00,157.44,
1977-10-17 23:00:00,161.67,
1977-10-24 23:00:00,163.45,
1977-10-31 23:00:00,161.54,
1977-11-07 23:00:00,167.18,
1977-11-14 23:00:00,167.0,
1977-11-21 23:00:00,159.2,
1977-11-28 23:00:00,161.45,
1977-12-05 23:00:00,159.35,
1977-12-12 23:00:00,158.86,
1977-12-19 23:00:00,160.59,
1977-12-26 23:00:00,162.52,
1978-01-02 23:00:00,166.8,
1978-01-09 23:00:00,169.6,
1978-01-16 23:00:00,175.6,
1978-01-23 23:00:00,175.82,
1978-01-30 23:00:00,176.48,
1978-02-06 23:00:00,175.63,
1978-02-13 23:00:00,176.94,
1978-02-20 23:00:00,182.15,
1978-02-27 23:00:00,182.47,
1978-03-06 23:00:00,184.58,
1978-03-13 23:00:00,185.81,
1978-03-20 23:00:00,182.01,
1978-03-27 23:00:00,182.76,
1978-04-03 23:00:00,182.7,
1978-04-10 23:00:00,179.46,
1978-04-17 23:00:00,174.7,
1978-04-24 23:00:00,169.67,
1978-05-01 23:00:00,170.2,
1978-05-08 23:00:00,172.69,
1978-05-15 23:00:00,175.08,
1978-05-22 23:00:00,179.46,
1978-05-29 23:00:00,180.69,
1978-06-05 23:00:00,183.04,
1978-06-12 23:00:00,181.24,
1978-06-19 23:00:00,184.36,
1978-06-26 23:00:00,186.07,
1978-07-03 23:00:00,183.7,
1978-07-10 23:00:00,186.01,
1978-07-17 23:00:00,185.55,
1978-07-24 23:00:00,196.53,
1978-07-31 23:00:00,198.84,
1978-08-07 23:00:00,205.02,
1978-08-14 23:00:00,213.63,
1978-08-21 23:00:00,203.91,
1978-08-28 23:00:00,198.97,
1978-09-04 23:00:00,212.37,
1978-09-11 23:00:00,206.61,
1978-09-18 23:00:00,209.35,
1978-09-25 23:00:00,216.88,
1978-10-02 23:00:00,217.11,
1978-10-09 23:00:00,222.87,
1978-10-16 23:00:00,224.46,
1978-10-23 23:00:00,229.04,
1978-10-30 23:00:00,241.58,
1978-11-06 23:00:00,209.04,
1978-11-13 23:00:00,210.08,
1978-11-20 23:00:00,200.07,
1978-11-27 23:00:00,200.58,
1978-12-04 23:00:00,198.93,
1978-12-11 23:00:00,206.42,
1978-12-18 23:00:00,213.47,
1978-12-25 23:00:00,217.1,
1979-01-01 23:00:00,224.77,
1979-01-08 23:00:00,224.01,
1979-01-15 23:00:00,217.66,
1979-01-22 23:00:00,234.67,
1979-01-29 23:00:00,234.13,
1979-02-05 23:00:00,239.18,
1979-02-12 23:00:00,250.56,
1979-02-19 23:00:00,250.01,
1979-02-26 23:00:00,250.58,
1979-03-05 23:00:00,243.83,
1979-03-12 23:00:00,241.87,
1979-03-19 23:00:00,243.93,
1979-03-26 23:00:00,244.96,
1979-04-02 23:00:00,240.68,
1979-04-09 23:00:00,241.28,
1979-04-16 23:00:00,234.78,
1979-04-23 23:00:00,237.46,
1979-04-30 23:00:00,244.08,
1979-05-07 23:00:00,250.09,
1979-05-14 23:00:00,250.77,
1979-05-21 23:00:00,262.55,
1979-05-28 23:00:00,275.5,
1979-06-04 23:00:00,277.56,
1979-06-11 23:00:00,281.97,
1979-06-18 23:00:00,280.06,
1979-06-25 23:00:00,284.69,
1979-07-02 23:00:00,282.35,
1979-07-09 23:00:00,290.07,
1979-07-16 23:00:00,291.81,
1979-07-23 23:00:00,304.14,
1979-07-30 23:00:00,304.01,
1979-08-06 23:00:00,286.42,
1979-08-13 23:00:00,302.91,
1979-08-20 23:00:00,298.98,
1979-08-27 23:00:00,313.04,
1979-09-03 23:00:00,321.82,
1979-09-10 23:00:00,337.85,
1979-09-17 23:00:00,350.71,
1979-09-24 23:00:00,377.94,
1979-10-01 23:00:00,407.49,
1979-10-08 23:00:00,375.67,
1979-10-15 23:00:00,399.2,
1979-10-22 23:00:00,394.84,
1979-10-29 23:00:00,372.74,
1979-11-05 23:00:00,378.74,
1979-11-12 23:00:00,392.85,
1979-11-19 23:00:00,391.66,
1979-11-26 23:00:00,394.39,
1979-12-03 23:00:00,430.14,
1979-12-10 23:00:00,429.84,
1979-12-17 23:00:00,461.4,
1979-12-24 23:00:00,475.79,
1979-12-31 23:00:00,525.07,
1980-01-07 23:00:00,635.33,
1980-01-14 23:00:00,652.29,
1980-01-21 23:00:00,837.62,
1980-01-28 23:00:00,628.38,
1980-02-04 23:00:00,673.41,
1980-02-11 23:00:00,717.76,
1980-02-18 23:00:00,665.76,
1980-02-25 23:00:00,625.53,
1980-03-03 23:00:00,637.66,
1980-03-10 23:00:00,600.7,
1980-03-17 23:00:00,483.92,
1980-03-24 23:00:00,556.64,
1980-03-31 23:00:00,496.37,
1980-04-08 22:00:00,520.1,
1980-04-15 22:00:00,497.56,
1980-04-22 22:00:00,496.92,
1980-04-29 22:00:00,513.43,
1980-05-06 22:00:00,518.97,
1980-05-13 22:00:00,512.09,
1980-05-20 22:00:00,512.18,
1980-05-27 22:00:00,515.58,
1980-06-03 22:00:00,553.46,
1980-06-10 22:00:00,607.97,
1980-06-17 22:00:00,599.58,
1980-06-24 22:00:00,603.46,
1980-07-01 22:00:00,658.46,
1980-07-08 22:00:00,690.57,
1980-07-15 22:00:00,622.32,
1980-07-22 22:00:00,612.93,
1980-07-29 22:00:00,647.23,
1980-08-05 22:00:00,635.98,
1980-08-12 22:00:00,614.87,
1980-08-19 22:00:00,619.1,
1980-08-26 22:00:00,631.07,
