Date,Cost (USD),Cost (Bitcoin)
2024-04-26 15:38:00,2333.09,0.0368
2024-04-26 20:59:40,2338.11,0.0366
2024-04-27 02:59:40,2338.08,0.0372
2024-04-27 08:59:40,2338.08,0.0371
2024-04-27 14:59:40,2338.08,0.0371
2024-04-27 20:59:40,2338.08,0.037
2024-04-28 02:59:40,2338.08,0.0366
2024-04-28 08:59:40,2338.08,0.0367
2024-04-28 14:59:40,2338.08,0.0368
2024-04-28 20:59:40,2338.08,0.0367
2024-04-29 02:59:40,2324.22,0.0371
2024-04-29 08:59:40,2338.09,0.0375
2024-04-29 14:59:40,2337.78,0.0372
2024-04-29 20:59:40,2335.82,0.0371
2024-04-30 02:59:40,2331.18,0.0366
2024-04-30 08:59:40,2312.38,0.0373
2024-04-30 14:59:40,2296.61,0.0375
2024-04-30 20:59:40,2285.69,0.0382
2024-05-01 02:59:40,2288.34,0.0382
2024-05-01 08:59:40,2285.95,0.0401
2024-05-01 14:59:40,2304.36,0.0401
2024-05-01 20:59:40,2318.53,0.0405
2024-05-02 02:59:40,2320.76,0.0404
2024-05-02 08:59:40,2304.68,0.0399
2024-05-02 14:59:40,2304.29,0.039
2024-05-02 20:59:40,2303.86,0.0392
2024-05-03 02:59:40,2301.43,0.0386
2024-05-03 08:59:40,2301.61,0.0389
2024-05-03 14:59:40,2292.17,0.0372
2024-05-03 20:59:40,2302.0,0.0366
2024-05-04 02:59:40,2302.0,0.0367
2024-05-04 08:59:40,2302.0,0.0364
2024-05-04 14:59:40,2302.0,0.0361
2024-05-04 20:59:40,2302.0,0.036
2024-05-05 02:59:40,2302.0,0.0364
2024-05-05 08:59:40,2302.0,0.0361
2024-05-05 14:59:40,2302.0,0.0359
2024-05-05 20:59:40,2302.0,0.0361
2024-05-06 02:59:40,2310.54,0.0362
2024-05-06 08:59:40,2318.75,0.0356
2024-05-06 14:59:40,2320.66,0.0367
2024-05-06 20:59:40,2323.89,0.0367
2024-05-07 02:59:40,2321.58,0.0364
2024-05-07 08:59:40,2315.5,0.0361
2024-05-07 14:59:40,2313.01,0.0361
2024-05-07 20:59:40,2314.19,0.0367
2024-05-08 02:59:40,2317.07,0.0369
2024-05-08 08:59:40,2307.54,0.037
2024-05-08 14:59:40,2316.55,0.037
2024-05-08 20:59:40,2308.94,0.0375
2024-05-09 02:59:40,2310.42,0.0375
2024-05-09 08:59:40,2310.18,0.0377
2024-05-09 14:59:40,2332.55,0.0379
2024-05-09 20:59:40,2346.16,0.0375
2024-05-10 02:59:40,2349.94,0.0374
2024-05-10 08:59:40,2369.92,0.0376
2024-05-10 14:59:40,2361.16,0.0387
2024-05-10 20:59:40,2360.54,0.039
2024-05-11 02:59:40,2360.44,0.0388
2024-05-11 08:59:40,2360.44,0.0388
2024-05-11 14:59:40,2360.44,0.0388
2024-05-11 20:59:40,2360.44,0.0387
2024-05-12 02:59:40,2360.44,0.0388
2024-05-12 08:59:40,2360.44,0.0387
2024-05-12 14:59:40,2360.44,0.0386
2024-05-12 20:59:40,2360.44,0.0385
