Date,Cost (USD),Cost (Bitcoin)
2024-05-19 15:38:00,2414.65,0.0361
2024-05-19 15:59:40,2414.65,0.0361
2024-05-19 16:59:40,2414.65,0.0362
2024-05-19 17:59:40,2414.65,0.0362
2024-05-19 18:59:40,2414.65,0.0363
2024-05-19 19:59:40,2414.65,0.0366
2024-05-19 20:59:40,2414.65,0.0365
2024-05-19 21:59:40,2414.65,0.0364
2024-05-19 22:59:40,2418.53,0.0364
2024-05-19 23:59:40,2420.06,0.0365
2024-05-20 00:59:40,2424.09,0.0365
2024-05-20 01:59:40,2433.31,0.0366
2024-05-20 02:59:40,2433.68,0.0365
2024-05-20 03:59:40,2437.61,0.0366
2024-05-20 04:59:40,2437.45,0.0363
2024-05-20 05:59:40,2449.7,0.0365
2024-05-20 06:59:40,2438.41,0.0367
2024-05-20 07:59:40,2441.49,0.0365
2024-05-20 08:59:40,2439.94,0.0365
2024-05-20 09:59:40,2442.41,0.0365
2024-05-20 10:59:40,2435.85,0.0363
2024-05-20 11:59:40,2429.85,0.0363
2024-05-20 12:59:40,2415.23,0.0361
2024-05-20 13:59:40,2419.95,0.0361
2024-05-20 14:59:40,2423.4,0.0362
2024-05-20 15:59:40,2424.92,0.036
2024-05-20 16:59:40,2425.96,0.0356
2024-05-20 17:59:40,2435.56,0.0356
2024-05-20 18:59:40,2435.27,0.0354
2024-05-20 19:59:40,2427.08,0.0346
2024-05-20 20:59:40,2425.36,0.0349
2024-05-20 21:59:40,2425.36,0.0348
2024-05-20 22:59:40,2427.28,0.0349
2024-05-20 23:59:40,2426.46,0.034
2024-05-21 00:59:40,2429.08,0.0341
2024-05-21 01:59:40,2420.95,0.0341
2024-05-21 02:59:40,2413.11,0.0339
2024-05-21 03:59:40,2414.39,0.0339
2024-05-21 04:59:40,2412.84,0.034
2024-05-21 05:59:40,2417.21,0.034
2024-05-21 06:59:40,2410.53,0.0339
2024-05-21 07:59:40,2418.67,0.0341
2024-05-21 08:59:40,2419.56,0.0341
2024-05-21 09:59:40,2417.07,0.0341
2024-05-21 10:59:40,2419.56,0.0341
2024-05-21 11:59:40,2423.54,0.0341
2024-05-21 12:59:40,2426.26,0.034
2024-05-21 13:59:40,2428.66,0.0344
2024-05-21 14:59:40,2429.66,0.0346
2024-05-21 15:59:40,2422.97,0.0347
2024-05-21 16:59:40,2422.9,0.0348
2024-05-21 17:59:40,2419.94,0.0347
2024-05-21 18:59:40,2420.58,0.0347
2024-05-21 19:59:40,2423.54,0.035
2024-05-21 20:59:40,2420.88,0.0347
2024-05-21 21:59:40,2420.79,0.0347
2024-05-21 22:59:40,2422.11,0.0345
2024-05-21 23:59:40,2421.57,0.0345
2024-05-22 00:59:40,2420.74,0.0345
2024-05-22 01:59:40,2422.03,0.0345
2024-05-22 02:59:40,2416.92,0.0345
2024-05-22 03:59:40,2413.06,0.0345
2024-05-22 04:59:40,2413.29,0.0347
2024-05-22 05:59:40,2416.35,0.0346
2024-05-22 06:59:40,2416.59,0.0346
2024-05-22 07:59:40,2417.11,0.0347
2024-05-22 08:59:40,2416.9,0.0345
2024-05-22 09:59:40,2417.18,0.0345
2024-05-22 10:59:40,2415.11,0.0344
2024-05-22 11:59:40,2407.89,0.0345
2024-05-22 12:59:40,2412.79,0.0346
2024-05-22 13:59:40,2411.02,0.0347
2024-05-22 14:59:40,2387.55,0.0341
2024-05-22 15:59:40,2392.52,0.034
2024-05-22 16:59:40,2393.77,0.0341
2024-05-22 17:59:40,2388.21,0.0342
2024-05-22 18:59:40,2377.78,0.0342
2024-05-22 19:59:40,2379.66,0.0342
2024-05-22 20:59:40,2378.76,0.0343
2024-05-22 21:59:40,2378.77,0.0342
2024-05-22 22:59:40,2380.77,0.0345
2024-05-22 23:59:40,2382.52,0.0345
2024-05-23 00:59:40,2379.95,0.0343
2024-05-23 01:59:40,2373.7,0.0342
2024-05-23 02:59:40,2369.52,0.0341
2024-05-23 03:59:40,2372.4,0.0342
2024-05-23 04:59:40,2373.16,0.0341
2024-05-23 05:59:40,2359.52,0.034
2024-05-23 06:59:40,2364.53,0.034
2024-05-23 07:59:40,2355.56,0.0338
2024-05-23 08:59:40,2359.63,0.0339
2024-05-23 09:59:40,2364.14,0.034
2024-05-23 10:59:40,2366.46,0.034
2024-05-23 11:59:40,2367.76,0.0338
2024-05-23 12:59:40,2363.35,0.0341
2024-05-23 13:59:40,2358.42,0.0347
2024-05-23 14:59:40,2345.21,0.0346
2024-05-23 15:59:40,2347.25,0.0345
2024-05-23 16:59:40,2340.53,0.0345
2024-05-23 17:59:40,2332.93,0.0345
2024-05-23 18:59:40,2334.97,0.0347
2024-05-23 19:59:40,2332.14,0.0348
2024-05-23 20:59:40,2328.48,0.0344
2024-05-23 21:59:40,2328.18,0.0343
2024-05-23 22:59:40,2330.71,0.0345
2024-05-23 23:59:40,2332.21,0.0343
2024-05-24 00:59:40,2329.92,0.0344
2024-05-24 01:59:40,2334.75,0.0345
2024-05-24 02:59:40,2331.01,0.0343
2024-05-24 03:59:40,2330.6,0.0344
2024-05-24 04:59:40,2334.94,0.0345
2024-05-24 05:59:40,2338.44,0.0348
2024-05-24 06:59:40,2338.69,0.0349
2024-05-24 07:59:40,2338.56,0.0348
2024-05-24 08:59:40,2340.21,0.0348
2024-05-24 09:59:40,2338.18,0.0347
2024-05-24 10:59:40,2340.42,0.0348
2024-05-24 11:59:40,2338.25,0.0347
2024-05-24 12:59:40,2339.58,0.0347
2024-05-24 13:59:40,2336.91,0.0349
2024-05-24 14:59:40,2336.78,0.0344
2024-05-24 15:59:40,2334.18,0.0342
2024-05-24 16:59:40,2334.5,0.0342
2024-05-24 17:59:40,2332.36,0.0339
2024-05-24 18:59:40,2334.86,0.0339
2024-05-24 19:59:40,2333.71,0.0337
2024-05-24 20:59:40,2333.78,0.0339
2024-05-24 21:59:40,2333.83,0.0339
2024-05-24 22:59:40,2333.83,0.0339
2024-05-24 23:59:40,2333.83,0.034
2024-05-25 00:59:40,2333.83,0.0341
2024-05-25 01:59:40,2333.83,0.034
2024-05-25 02:59:40,2333.83,0.0339
2024-05-25 03:59:40,2333.83,0.034
2024-05-25 04:59:40,2333.83,0.0339
2024-05-25 05:59:40,2333.83,0.034
2024-05-25 06:59:40,2333.83,0.034
2024-05-25 07:59:40,2333.83,0.034
2024-05-25 08:59:40,2333.83,0.0339
2024-05-25 09:59:40,2333.83,0.0338
2024-05-25 10:59:40,2333.83,0.0337
2024-05-25 11:59:40,2333.83,0.0338
2024-05-25 12:59:40,2333.83,0.0338
2024-05-25 13:59:40,2333.83,0.0338
2024-05-25 14:59:40,2333.83,0.0338
2024-05-25 15:59:40,2333.83,0.0339
2024-05-25 16:59:40,2333.83,0.0339
2024-05-25 17:59:40,2333.83,0.0338
2024-05-25 18:59:40,2333.83,0.0337
2024-05-25 19:59:40,2333.83,0.0338
2024-05-25 20:59:40,2333.83,0.0338
2024-05-25 21:59:40,2333.83,0.0338
2024-05-25 22:59:40,2333.83,0.0338
2024-05-25 23:59:40,2333.83,0.0337
2024-05-26 00:59:40,2333.83,0.0337
2024-05-26 01:59:40,2333.83,0.0337
2024-05-26 02:59:40,2333.83,0.0339
2024-05-26 03:59:40,2333.83,0.0338
2024-05-26 04:59:40,2333.83,0.0338
2024-05-26 05:59:40,2333.83,0.0338
2024-05-26 06:59:40,2333.83,0.0338
2024-05-26 07:59:40,2333.83,0.0337
2024-05-26 08:59:40,2333.83,0.0338
2024-05-26 09:59:40,2333.83,0.0338
2024-05-26 10:59:40,2333.83,0.0337
2024-05-26 11:59:40,2333.83,0.0338
2024-05-26 12:59:40,2333.83,0.0338
2024-05-26 13:59:40,2333.83,0.0338
2024-05-26 14:59:40,2333.83,0.0337
2024-05-26 15:34:40,2333.83,0.0337
2024-05-26 15:38:00,2333.83,0.0337
