Date,Cost (USD),Cost (Bitcoin)
2021-05-26 15:35:00,1902.41,0.0491
2021-05-27 15:00:00,1889.62,0.0471
2021-05-28 15:00:00,1894.88,0.0517
2021-05-29 15:00:00,1903.44,0.055
2021-05-30 15:00:00,1903.44,0.0538
2021-05-31 15:00:00,1905.27,0.052
2021-06-01 15:00:00,1895.1,0.0517
2021-06-02 15:00:00,1901.53,0.0502
2021-06-03 15:00:00,1870.97,0.0484
2021-06-04 15:00:00,1893.95,0.0515
2021-06-05 15:00:00,1890.96,0.053
2021-06-06 15:00:00,1890.96,0.0523
2021-06-07 15:00:00,1892.03,0.0525
2021-06-08 15:00:00,1894.67,0.0596
2021-06-09 15:00:00,1891.14,0.0545
2021-06-10 15:00:00,1888.93,0.0511
2021-06-11 15:00:00,1883.8,0.0506
2021-06-12 15:00:00,1877.42,0.0526
2021-06-13 15:00:00,1877.42,0.0524
2021-06-14 15:00:00,1866.3,0.046
2021-06-15 15:00:00,1859.85,0.0465
2021-06-16 15:00:00,1856.53,0.0478
2021-06-17 15:00:00,1778.84,0.0457
2021-06-18 15:00:00,1777.67,0.0485
2021-06-19 15:00:00,1764.35,0.0487
2021-06-20 15:00:00,1764.35,0.0514
2021-06-21 15:00:00,1782.51,0.0542
2021-06-22 15:00:00,1779.9,0.0582
2021-06-23 15:00:00,1789.95,0.0525
2021-06-24 15:00:00,1778.61,0.0522
2021-06-25 15:00:00,1782.13,0.0543
2021-06-26 15:00:00,1781.54,0.057
2021-06-27 15:00:00,1781.54,0.0535
2021-06-28 15:00:00,1777.99,0.0517
2021-06-29 15:00:00,1754.65,0.0484
2021-06-30 15:00:00,1765.74,0.051
2021-07-01 15:00:00,1774.35,0.0534
2021-07-02 15:00:00,1782.91,0.053
2021-07-03 15:00:00,1787.33,0.0515
2021-07-04 15:00:00,1787.33,0.0504
2021-07-05 15:00:00,1791.04,0.0531
2021-07-06 15:00:00,1804.75,0.0528
2021-07-07 15:00:00,1805.58,0.0521
2021-07-08 15:00:00,1801.68,0.055
2021-07-09 15:00:00,1808.41,0.0539
2021-07-10 15:00:00,1808.3,0.0534
2021-07-11 15:00:00,1808.3,0.0533
2021-07-12 15:00:00,1805.44,0.054
2021-07-13 15:00:00,1812.84,0.0557
2021-07-14 15:00:00,1820.64,0.0554
2021-07-15 15:00:00,1821.24,0.0573
2021-07-16 15:00:00,1812.87,0.0569
2021-07-17 15:00:00,1812.13,0.0573
2021-07-18 15:00:00,1812.13,0.0578
2021-07-19 15:00:00,1811.45,0.0588
2021-07-20 15:00:00,1809.42,0.0609
2021-07-21 15:00:00,1800.99,0.0566
2021-07-22 15:00:00,1803.7,0.0559
2021-07-23 15:00:00,1798.31,0.0553
2021-07-24 15:00:00,1802.12,0.0532
2021-07-25 15:00:00,1802.12,0.0528
2021-07-26 15:00:00,1801.61,0.047
2021-07-27 15:00:00,1797.46,0.047
2021-07-28 15:00:00,1800.22,0.0455
2021-07-29 15:00:00,1827.96,0.0458
2021-07-30 15:00:00,1822.9,0.0467
2021-07-31 15:00:00,1814.05,0.0438
2021-08-01 15:00:00,1814.05,0.0439
2021-08-02 15:00:00,1814.8,0.0458
2021-08-03 15:00:00,1811.44,0.0474
2021-08-04 15:00:00,1811.65,0.0463
2021-08-05 15:00:00,1802.83,0.0462
2021-08-06 15:00:00,1761.36,0.0432
2021-08-07 15:00:00,1762.77,0.0405
2021-08-08 15:00:00,1762.77,0.0401
2021-08-09 15:00:00,1729.86,0.0379
2021-08-10 15:00:00,1726.43,0.038
2021-08-11 15:00:00,1745.93,0.0375
2021-08-12 15:00:00,1748.05,0.0396
2021-08-13 15:00:00,1773.32,0.0382
2021-08-14 15:00:00,1779.75,0.0379
2021-08-15 15:00:00,1779.75,0.0388
2021-08-16 15:00:00,1788.53,0.0388
2021-08-17 15:00:00,1783.46,0.0388
2021-08-18 15:00:00,1781.99,0.0392
2021-08-19 15:00:00,1780.68,0.0392
2021-08-20 15:00:00,1782.64,0.0367
2021-08-21 15:00:00,1781.14,0.0363
2021-08-22 15:00:00,1781.14,0.0369
2021-08-23 15:00:00,1804.21,0.0363
2021-08-24 15:00:00,1804.55,0.0372
2021-08-25 15:00:00,1784.48,0.0368
2021-08-26 15:00:00,1791.6,0.0383
2021-08-27 15:00:00,1807.68,0.0375
2021-08-28 15:00:00,1817.22,0.0373
2021-08-29 15:00:00,1817.22,0.0377
2021-08-30 15:00:00,1811.89,0.038
2021-08-31 15:00:00,1806.98,0.0382
2021-09-01 15:00:00,1809.91,0.0383
2021-09-02 15:00:00,1812.58,0.0366
2021-09-03 15:00:00,1830.22,0.0361
2021-09-04 15:00:00,1827.67,0.0365
2021-09-05 15:00:00,1827.67,0.0364
2021-09-06 15:00:00,1821.82,0.0352
2021-09-07 15:00:00,1796.91,0.0378
2021-09-08 15:00:00,1788.77,0.039
2021-09-09 15:00:00,1789.03,0.0381
2021-09-10 15:00:00,1796.77,0.0399
2021-09-11 15:00:00,1787.7,0.0391
2021-09-12 15:00:00,1787.7,0.039
2021-09-13 15:00:00,1796.23,0.0408
2021-09-14 15:00:00,1804.77,0.0388
2021-09-15 15:00:00,1794.0,0.0375
2021-09-16 15:00:00,1754.08,0.0368
2021-09-17 15:00:00,1751.54,0.0369
2021-09-18 15:00:00,1755.11,0.0362
2021-09-19 15:00:00,1755.11,0.0369
2021-09-20 15:00:00,1765.22,0.0403
2021-09-21 15:00:00,1777.82,0.0419
2021-09-22 15:00:00,1774.62,0.0419
2021-09-23 15:00:00,1752.32,0.0397
2021-09-24 15:00:00,1749.17,0.0412
2021-09-25 15:00:00,1750.48,0.0413
2021-09-26 15:00:00,1750.48,0.0404
2021-09-27 15:00:00,1749.16,0.0405
2021-09-28 15:00:00,1733.05,0.0417
2021-09-29 15:00:00,1728.37,0.0409
2021-09-30 15:00:00,1757.38,0.0408
2021-10-01 15:00:00,1758.78,0.0373
2021-10-02 15:00:00,1760.93,0.0366
2021-10-03 15:00:00,1760.93,0.0367
2021-10-04 15:00:00,1766.51,0.0372
2021-10-05 15:00:00,1752.52,0.0351
2021-10-06 15:00:00,1760.09,0.0323
2021-10-07 15:00:00,1756.51,0.0326
2021-10-08 15:00:00,1758.92,0.0322
