Date,Cost (USD),Cost (Bitcoin)
2023-12-31 17:00:00,2063.06,0.0485
2023-12-31 21:00:00,2063.06,0.0485
2024-01-01 03:00:00,2062.51,0.0484
2024-01-01 09:00:00,2062.51,0.0485
2024-01-01 15:00:00,2062.51,0.0484
2024-01-01 21:00:00,2062.51,0.0472
2024-01-02 03:00:00,2067.53,0.0455
2024-01-02 09:00:00,2073.51,0.0453
2024-01-02 15:00:00,2068.62,0.0457
2024-01-02 21:00:00,2058.56,0.046
2024-01-03 03:00:00,2065.13,0.0456
2024-01-03 09:00:00,2060.29,0.0456
2024-01-03 15:00:00,2038.27,0.0483
2024-01-03 21:00:00,2041.58,0.0478
2024-01-04 03:00:00,2044.15,0.0474
2024-01-04 09:00:00,2046.4,0.0477
2024-01-04 15:00:00,2039.89,0.0467
2024-01-04 21:00:00,2043.59,0.0462
2024-01-05 03:00:00,2046.15,0.047
2024-01-05 09:00:00,2042.07,0.0465
2024-01-05 15:00:00,2046.7,0.047
2024-01-05 21:00:00,2044.15,0.0465
2024-01-06 03:00:00,2045.75,0.0465
2024-01-06 09:00:00,2045.75,0.0468
2024-01-06 15:00:00,2045.75,0.0467
2024-01-06 21:00:00,2045.75,0.0466
2024-01-07 03:00:00,2045.75,0.0465
2024-01-07 09:00:00,2045.75,0.0465
2024-01-07 15:00:00,2045.75,0.0461
2024-01-07 21:00:00,2045.75,0.0463
2024-01-08 03:00:00,2041.67,0.047
2024-01-08 09:00:00,2028.65,0.0462
2024-01-08 15:00:00,2026.88,0.0452
2024-01-08 21:00:00,2027.27,0.0433
2024-01-09 03:00:00,2033.8,0.0434
2024-01-09 09:00:00,2034.29,0.0437
2024-01-09 15:00:00,2034.54,0.0437
2024-01-09 21:00:00,2028.83,0.0435
2024-01-10 03:00:00,2031.88,0.0442
2024-01-10 09:00:00,2035.54,0.0449
2024-01-10 15:00:00,2027.28,0.0452
2024-01-10 21:00:00,2022.89,0.0438
2024-01-11 03:00:00,2029.8,0.0436
2024-01-11 09:00:00,2031.36,0.0439
2024-01-11 15:00:00,2030.15,0.0417
2024-01-11 21:00:00,2028.01,0.0438
2024-01-12 03:00:00,2033.93,0.0441
2024-01-12 09:00:00,2038.94,0.0444
2024-01-12 15:00:00,2057.05,0.0453
2024-01-12 21:00:00,2047.1,0.0469
2024-01-13 03:00:00,2049.14,0.0482
2024-01-13 09:00:00,2049.14,0.0474
2024-01-13 15:00:00,2049.14,0.0478
2024-01-13 21:00:00,2049.14,0.0478
2024-01-14 03:00:00,2049.14,0.0479
2024-01-14 09:00:00,2049.14,0.0477
2024-01-14 15:00:00,2049.14,0.0479
2024-01-14 21:00:00,2049.14,0.0482
2024-01-15 03:00:00,2056.05,0.0485
2024-01-15 09:00:00,2057.04,0.0482
2024-01-15 15:00:00,2052.48,0.0487
2024-01-15 21:00:00,2054.98,0.0479
2024-01-16 03:00:00,2050.41,0.048
2024-01-16 09:00:00,2043.1,0.0475
2024-01-16 15:00:00,2038.02,0.0478
2024-01-16 21:00:00,2028.38,0.047
2024-01-17 03:00:00,2029.16,0.0472
2024-01-17 09:00:00,2021.93,0.0474
2024-01-17 15:00:00,2015.32,0.0474
2024-01-17 21:00:00,2006.02,0.047
2024-01-18 03:00:00,2007.75,0.0471
2024-01-18 09:00:00,2010.1,0.0471
2024-01-18 15:00:00,2013.14,0.0472
2024-01-18 21:00:00,2022.6,0.0497
2024-01-19 03:00:00,2024.2,0.0493
2024-01-19 09:00:00,2030.18,0.0492
2024-01-19 15:00:00,2029.24,0.0496
2024-01-19 21:00:00,2028.08,0.0488
2024-01-20 03:00:00,2029.47,0.0488
2024-01-20 09:00:00,2029.47,0.0488
2024-01-20 15:00:00,2029.47,0.0489
2024-01-20 21:00:00,2029.47,0.0486
2024-01-21 03:00:00,2029.47,0.0487
2024-01-21 09:00:00,2029.47,0.0487
2024-01-21 15:00:00,2029.47,0.0486
2024-01-21 21:00:00,2029.47,0.0487
2024-01-22 03:00:00,2029.78,0.0492
2024-01-22 09:00:00,2022.08,0.0494
2024-01-22 15:00:00,2023.29,0.0498
2024-01-22 21:00:00,2020.64,0.0503
2024-01-23 03:00:00,2022.67,0.0505
2024-01-23 09:00:00,2029.35,0.0515
2024-01-23 15:00:00,2023.09,0.0523
2024-01-23 21:00:00,2028.61,0.0518
2024-01-24 03:00:00,2024.97,0.051
2024-01-24 09:00:00,2030.5,0.0509
2024-01-24 15:00:00,2023.71,0.0507
2024-01-24 21:00:00,2012.05,0.0509
2024-01-25 03:00:00,2014.96,0.0505
2024-01-25 09:00:00,2013.9,0.0503
2024-01-25 15:00:00,2024.21,0.0506
2024-01-25 21:00:00,2019.57,0.0507
2024-01-26 03:00:00,2022.13,0.0504
2024-01-26 09:00:00,2021.29,0.0504
2024-01-26 15:00:00,2020.16,0.0486
2024-01-26 21:00:00,2018.74,0.0481
2024-01-27 03:00:00,2018.5,0.0483
2024-01-27 09:00:00,2018.5,0.0487
2024-01-27 15:00:00,2018.5,0.0483
2024-01-27 21:00:00,2018.5,0.048
2024-01-28 03:00:00,2018.5,0.0479
2024-01-28 09:00:00,2018.5,0.0475
2024-01-28 15:00:00,2018.5,0.0477
2024-01-28 21:00:00,2018.5,0.0481
2024-01-29 03:00:00,2025.1,0.048
2024-01-29 09:00:00,2031.87,0.0483
2024-01-29 15:00:00,2023.71,0.0483
2024-01-29 21:00:00,2031.96,0.0471
